City,Unemployment Rate 2013,Rank
Monroe,7.4,212
Bridgeport-Stamford-Norwalk,7.5,221
Florence-Muscle Shoals,7.5,221
Hattiesburg,7.5,221
Huntington-Ashland,7.5,221
Kingsport-Bristol-Bristol,7.5,221
Las Cruces,7.5,221
Shreveport-Bossier City,7.5,221
Springfield,7.5,221
Syracuse,7.5,221
Utica-Rome,7.5,221
Akron,7.6,231
Binghamton,7.6,231
Buffalo-Cheektowaga-Niagara Falls,7.6,231
Canton-Massillon,7.6,231
Gadsden,7.6,231
Hot Springs,7.6,231
Kalamazoo-Portage,7.6,231
Olympia-Tumwater,7.6,231
Pittsfield,7.6,231
Wenatchee,7.6,231
Beckley,7.7,241
Janesville-Beloit,7.7,241
Midland,7.7,241
Philadelphia-Camden-Wilmington,7.7,241
Prescott,7.7,241
Winston-Salem,7.7,241
Allentown-Bethlehem-Easton,7.8,247
Atlanta-Sandy Springs-Roswell,7.8,247
Fort Smith,7.8,247
Glens Falls,7.8,247
Goldsboro,7.8,247
Hartford-West Hartford-East Hartford,7.8,247
Lima,7.8,247
San Diego-Carlsbad,7.8,247
Springfield,7.8,247
Williamsport,7.8,247
Wilmington,7.8,247
Battle Creek,7.9,258
Charlotte-Concord-Gastonia,7.9,258
Colorado Springs,7.9,258
Dayton,7.9,258
El Paso,7.9,258
Elmira,7.9,258
New York-Newark-Jersey City,7.9,258
Oxnard-Thousand Oaks-Ventura,7.9,258
Elizabethtown-Fort Knox,8,266
Eugene,8,266
Gulfport-Biloxi-Pascagoula,8,266
Hammond,8,266
Johnson City,8,266
New Haven,8,266
Punta Gorda,8,266
Savannah,8,266
Spartanburg,8,266
Valdosta,8,266
Warner Robins,8,266
Barnstable Town,8.1,277
Clarksville,8.1,277
Flagstaff,8.1,277
Greenville,8.1,277
Kokomo,8.1,277
Deltona-Daytona Beach-Ormond Beach,8.2,282
Jackson,8.2,282
Lakeland-Winter Haven,8.2,282
Toledo,8.2,282
Cumberland,8.3,286
Jackson,8.3,286
Leominster-Gardner,8.3,286
Palm Bay-Melbourne-Titusville,8.3,286
Racine,8.3,286
Augusta-Richmond County,8.4,291
Hinesville,8.4,291
Salisbury,8.4,291
Spokane-Spokane Valley,8.4,291
Carbondale-Marion,8.5,295
Greensboro-High Point,8.5,295
Memphis,8.5,295
Mobile,8.5,295
Norwich-New London-Westerly,8.5,295
Ocala,8.5,295
Columbus,8.6,301
Florence,8.6,301
Hickory-Lenoir-Morganton,8.6,301
Mansfield,8.6,301
Mount Vernon-Anacortes,8.6,301
Muncie,8.6,301
New Bern,8.6,301
South Bend-Mishawaka,8.6,301
Youngstown-Warren-Boardman,8.6,301
Bay City,8.7,310
Grand Junction,8.7,310
Johnstown,8.7,310
Niles-Benton Harbor,8.7,310
Sacramento--Roseville--Arden-Arcade,8.7,310
Salem,8.7,310
Sumter,8.7,310
Anniston-Oxford-Jacksonville,8.8,317
Brunswick,8.8,317
Myrtle Beach-Conway-North Myrtle Beach,8.9,319
Scranton--Wilkes-Barre--Hazleton,8.9,319
Los Angeles-Long Beach-Anaheim,9,321
Macon-Bibb County,9,321
Peoria,9,321
Port St. Lucie,9,321
Providence-Warwick,9,321
Saginaw,9,321
Chicago-Naperville-Elgin,9.1,327
Kennewick-Richland,9.1,327
Morristown,9.1,327
Vallejo-Fairfield,9.1,327
Sierra Vista-Douglas,9.2,331
Watertown-Fort Drum,9.2,331
Michigan City-La Porte,9.3,333
The Villages,9.3,333
Albany,9.4,335
East Stroudsburg,9.4,335
Terre Haute,9.4,335
Bend-Redmond,9.5,338
Reno,9.5,338
Rome,9.5,338
Sebring,9.5,338
Sebastian-Vero Beach,9.6,342
Weirton-Steubenville,9.6,342
Albany,9.7,344
Detroit-Warren-Dearborn,9.7,344
Fayetteville,9.7,344
Flint,9.7,344
Homosassa Springs,9.7,344
Las Vegas-Henderson-Paradise,9.7,344
Medford,9.7,344
Waterbury,9.7,344
Longview,9.8,352
Pine Bluff,9.8,352
Pueblo,9.8,352
Riverside-San Bernardino-Ontario,9.8,352
Muskegon,9.9,356
Brownsville-Harlingen,10,357
Dalton,10,357
Yakima,10,357
Chico,10.3,360
Kankakee,10.3,360
Lake Havasu City-Kingman,10.3,360
McAllen-Edinburg-Mission,10.3,360
Salinas,10.3,360
Santa Cruz-Watsonville,10.3,360
Beaumont-Port Arthur,10.4,366
Carson City,10.4,366
Rockford,10.4,366
New Bedford,10.5,369
Danville,10.6,370
Grants Pass,11.1,371
Decatur,11.3,372
Rocky Mount,11.3,372
Atlantic City-Hammonton,11.7,374
Bakersfield,11.7,374
Redding,11.8,376
Vineland-Bridgeton,11.8,376
Stockton-Lodi,12.3,378
Madera,12.6,379
Modesto,12.9,380
Fresno,13.3,381
Hanford-Corcoran,13.4,382
Yuba City,14.1,383
Ocean City,14.3,384
Visalia-Porterville,14.4,385
Merced,14.5,386
El Centro,25,387
Yuma,25.5,388
